store_id,total_quantity,transaction_count,avg_quantity_per_transaction,total_value,unique_products,first_transaction,last_transaction,days_active,avg_daily_quantity,product_variety_score,premise,categoria_pdv,zipcode,performance_tier,region
1000237487041964405,27.0,17,1.5882353,931.4000186920166,7,2022-02-07,2022-11-16,283,0.09540636042402827,0.0009870276367738298,On Premise,Winery,30175.0,Low,30
1000275275922029725,221.0,4,55.25,1322.240098953247,4,2022-09-11,2022-09-11,1,221.0,0.0005640157924421884,On Premise,Golf - Public,81507.0,Medium,81
1000285336744471896,0.0,6,0.0,265.8999996185303,5,2022-03-05,2022-11-15,256,0.0,0.0007050197405527354,On Premise,Theatre,30338.0,Low,30
1000699279948182033,39.999996,1,39.999996,228.3099708557129,1,2022-09-11,2022-09-11,1,39.999996185302734,0.0001410039481105471,,,,Low,na
1001371918471115422,2475.3333,562,4.4045076,51143.54711294174,146,2022-01-06,2022-12-29,358,6.914338692606495,0.020586576424139875,Off Premise,Convenience,30175.0,High,30
1001617387599143258,177.99998,46,3.8695648,4768.619812965393,27,2022-02-07,2022-12-12,309,0.5760517305540807,0.0038071065989847717,On Premise,Hotel/Motel,80206.0,Medium,80
100190811186115530,18.0,10,1.8,928.3300132751465,5,2022-02-08,2022-10-25,260,0.06923076923076923,0.0007050197405527354,On Premise,Asian,80002.0,Low,80
1002176693407703711,148.0,15,9.866667,2815.090003013611,14,2022-06-03,2022-12-27,208,0.7115384615384616,0.0019740552735476595,Off Premise,Package/Liquor,31523.0,Medium,31
1002531555980957298,512.0,102,5.019608,11314.509029388428,36,2022-01-04,2022-12-20,351,1.4586894586894588,0.005076142131979695,Off Premise,Convenience,30114.0,Medium,30
1002789537408335681,19.0,11,1.7272727,554.568000793457,9,2022-01-26,2022-06-29,155,0.12258064516129032,0.0012690355329949238,On Premise,Restaurant,30022.0,Low,30
100283238597693926,47.0,10,4.7,1234.0000076293945,5,2022-01-18,2022-12-07,324,0.14506172839506173,0.0007050197405527354,On Premise,Night Club,30093.0,Medium,30
1003520859582539576,218.75,125,1.75,5762.866011619568,42,2022-01-07,2022-12-20,348,0.6285919540229885,0.005922165820642978,Off Premise,Convenience,80501.0,Medium,80
1003970330177729211,225.0,130,1.7307693,4853.037997245789,65,2022-02-08,2022-12-27,323,0.6965944272445821,0.00916525662718556,Off Premise,Convenience,30013.0,Medium,30
1004005665140505784,2104.9167,530,3.971541,47112.39387655258,108,2022-01-10,2022-12-29,354,5.946092508606991,0.015228426395939087,Off Premise,Super Center,80126.0,High,80
1004779246734143594,940.93335,227,4.145081,18297.962064266205,69,2022-01-04,2022-12-27,358,2.628305445836243,0.00972927241962775,Off Premise,Package/Liquor,30013.0,High,30
1005375718888197324,469.0,203,2.310345,12350.619084358215,45,2022-01-06,2022-12-29,358,1.3100558659217878,0.006345177664974619,Off Premise,Convenience,80530.0,Medium,80
1007022020782675799,897.0,257,3.4902723,18589.08794116974,70,2022-01-07,2022-12-30,358,2.505586592178771,0.009870276367738297,Off Premise,Convenience,30735.0,High,30
1007317756574794957,19.999945,2,9.999972,214.33940362930298,2,2022-09-11,2022-09-11,1,19.99994468688965,0.0002820078962210942,,,,Low,na
1007638495360515821,674.5,151,4.4668875,16454.72794342041,36,2022-01-07,2022-12-21,349,1.9326647564469914,0.005076142131979695,Off Premise,Convenience,80644.0,Medium,80
1008015459031319689,105.99999,8,13.249999,1360.499855041504,7,2022-09-11,2022-12-01,82,1.2926828337878715,0.0009870276367738298,On Premise,Restaurant,80524.0,Medium,80
1008204225823519908,255.9998,13,19.692293,2668.527280807495,13,2022-09-11,2022-09-11,1,255.9998016357422,0.0018330513254371122,On Premise,Restaurant,81601.0,Medium,81
1008240744247283174,1202.0,48,25.041666,21260.83015537262,26,2022-01-10,2022-12-05,330,3.6424242424242426,0.0036661026508742244,On Premise,Irish,80501.0,High,80
1008687169318356010,746.5,267,2.79588,16293.093979358673,62,2022-01-10,2022-12-26,351,2.1267806267806266,0.00874224478285392,Off Premise,Convenience,30536.0,Medium,30
1008859735773151910,25.000002,3,8.333334,266.58008575439453,3,2022-09-11,2022-09-11,1,25.000001907348633,0.00042301184433164127,On Premise,Pizza,81611.0,Low,81
