product_id,total_quantity,transaction_count,avg_quantity_per_transaction,total_value,store_count,first_sale,last_sale,days_active,velocity_units_per_day,store_penetration,cumulative_quantity,quantity_percentage,abc_tier_quantity,abc_tier_value,velocity_segment
2995245061726159069,326985.0,1274,256.66013,1488225.1640238762,887,2022-09-11,2022-12-30,111,2945.810810810811,0.06151605520493793,326985.0,1.9590099,A,A,Fast
4040509988492387426,314195.66,14879,21.116718,6313375.545724869,2629,2022-01-02,2022-12-31,364,863.1748798076923,0.18232887162771344,641180.6,3.8413968,A,A,Fast
3212701144500706568,293842.0,1289,227.96121,2710898.578737259,838,2022-09-06,2022-12-30,116,2533.1206896551726,0.05811776128719051,935022.6,5.6018424,A,A,Fast
5854098638082429437,290967.0,1307,222.62204,738299.4070754051,851,2022-09-11,2022-12-30,111,2621.324324324324,0.05901934946945003,1.2259896e+06,7.345064,A,A,Fast
1380288516179470221,237442.0,772,307.56735,634436.3765509129,602,2022-09-11,2022-12-30,111,2139.1171171171172,0.041750468132325406,1.4634316e+06,8.76761,A,A,Fast
3620674245436818138,230529.0,1964,117.37729,4161045.8821029663,1387,2022-09-11,2022-12-30,111,2076.837837837838,0.09619252375338096,1.6939606e+06,10.148739,A,A,Fast
4500561597898984528,193911.0,1033,187.71635,1588490.0097222328,668,2022-08-31,2022-12-30,122,1589.4344262295083,0.04632776198071988,1.8878716e+06,11.310485,A,A,Fast
8352471677482341950,181811.42,10919,16.650923,4274828.806173146,2243,2022-01-02,2022-12-30,363,500.85791150137743,0.15555863790831542,2.069683e+06,12.39974,A,A,Fast
828956132720074702,171643.0,831,206.54994,1750074.0200548172,670,2022-09-11,2022-12-30,111,1546.3333333333333,0.04646646785491366,2.241326e+06,13.428076,A,A,Fast
3894706280449257667,164209.73,15140,10.846086,3198547.465957999,2216,2022-01-01,2022-12-31,365,449.8896832191781,0.15368610860669948,2.4055358e+06,14.411879,A,A,Fast
500478784353013717,152734.3,14862,10.276834,3800160.274442911,2625,2022-01-02,2022-12-31,364,419.59971668956047,0.1820514598793259,2.55827e+06,15.326929,A,A,Fast
2394950933694010774,150380.0,1225,122.759186,812046.4517946243,774,2022-09-11,2022-12-30,111,1354.7747747747749,0.053679173312989804,2.70865e+06,16.227875,A,A,Fast
2389585171061933527,143257.0,694,206.4222,218107.08133387566,557,2022-09-11,2022-12-30,111,1290.6036036036037,0.038629585962965535,2.851907e+06,17.086147,A,A,Fast
3262679882836704514,141930.8,31400,4.520089,3199938.1007789373,5854,2022-01-01,2022-12-30,364,389.91977163461536,0.405992093765171,2.9938378e+06,17.936472,A,A,Fast
8752906129044353959,141212.0,553,255.35623,577359.0917129517,472,2022-09-11,2022-12-30,111,1272.1801801801803,0.03273458630973022,3.1350498e+06,18.782492,A,A,Fast
1029370090212151375,139853.62,30771,4.5449815,3697830.5079017878,4603,2022-01-02,2022-12-31,364,384.2132554945055,0.3192315694569665,3.2749035e+06,19.620375,A,A,Fast
1860061817666925715,134909.58,10592,12.736932,2705385.794842899,2236,2022-01-02,2022-12-30,363,371.65173037190084,0.15507316734863721,3.409813e+06,20.428635,A,A,Fast
8961542818471010617,132817.0,117,1135.188,1010871.8676800728,116,2022-09-09,2022-11-07,60,2213.616666666667,0.008044940703238782,3.54263e+06,21.22436,A,A,Fast
8899583048247637290,129159.2,12953,9.971374,2078155.96866858,1915,2022-01-03,2022-12-30,362,356.79337879834253,0.1328108745405368,3.6717892e+06,21.998169,A,A,Fast
1657665165780983454,128743.086,14424,8.925616,2702774.092928827,2843,2022-01-01,2022-12-31,365,352.720783390411,0.19717040016644705,3.8005322e+06,22.769484,A,A,Fast
1690125846152117227,128046.0,696,183.97414,827761.6911864281,557,2022-09-11,2022-12-30,111,1153.5675675675675,0.038629585962965535,3.9285782e+06,23.536625,A,A,Fast
3654799619916051085,121135.0,442,274.0611,891993.4314687364,369,2022-09-11,2022-12-29,110,1101.2272727272727,0.025591233788750955,4.0497132e+06,24.26236,A,A,Fast
1776377728354810244,118107.0,568,207.93486,1439899.0414915085,466,2022-09-11,2022-12-30,111,1064.027027027027,0.0323184686871489,4.1678202e+06,24.969955,A,A,Fast
1152772499033912340,111304.836,18191,6.118676,2541750.4518071413,3945,2022-01-03,2022-12-30,362,307.4719224792818,0.2735973368472155,4.279125e+06,25.636795,A,A,Fast
4794695800414206309,103778.0,370,280.48108,243799.06066179276,312,2022-09-11,2022-12-29,110,943.4363636363636,0.02163811637422845,4.382903e+06,26.258543,A,A,Fast
6641579232767647477,100815.8,11947,8.438587,2023271.985096395,1966,2022-01-01,2022-12-30,364,276.96647493131866,0.13634787433247797,4.483719e+06,26.862543,A,A,Fast
8625590539951587748,100060.04,28562,3.5032575,2644198.374544978,5416,2022-01-02,2022-12-31,364,274.8902172046703,0.3756155073167349,4.583779e+06,27.462017,A,A,Fast
6608102981224815905,99870.0,52,1920.5769,530209.2116699219,48,2022-09-11,2022-12-19,100,998.7,0.0033289409806505307,4.683649e+06,28.060352,A,A,Fast
8275181357437864705,99431.37,3875,25.659708,2417878.595189631,1367,2022-01-03,2022-12-30,362,274.67228504834253,0.09480546501144324,4.7830805e+06,28.65606,A,A,Fast
637448570435263100,95532.53,26184,3.6485078,2076236.8501267433,3868,2022-01-02,2022-12-30,363,263.17501721763085,0.2682571606907553,4.878613e+06,29.228407,A,A,Fast
5418855670645487653,95474.0,14375,6.6416698,1817944.259115219,2807,2022-01-02,2022-12-30,363,263.0137741046832,0.19467369443095914,4.974087e+06,29.800404,A,A,Fast
1471722963249789482,94190.0,1374,68.551674,487701.72598314285,858,2022-09-11,2022-12-31,112,840.9821428571429,0.059504820029128234,5.068277e+06,30.364708,A,A,Fast
2427215902003685075,94121.0,369,255.07047,783438.4502778053,321,2022-09-11,2022-12-30,111,847.936936936937,0.022262292808100423,5.162398e+06,30.9286,A,A,Fast
6504514533420270914,88726.99,2001,44.341324,1357553.278510511,1528,2022-09-11,2022-12-30,111,799.3422719594595,0.10597128788404189,5.251125e+06,31.460175,A,A,Fast
1365813714550729758,87293.0,305,286.20654,56454.045995116234,257,2022-09-11,2022-12-30,111,786.4234234234234,0.017823704833899716,5.338418e+06,31.983158,A,B,Fast
9186464219818569287,82498.0,305,270.48526,205645.3453259468,251,2022-09-11,2022-12-30,111,743.2252252252252,0.0174075872113184,5.420916e+06,32.477413,A,A,Fast
576514643033029430,82256.734,10353,7.9452076,1594896.4083732963,1795,2022-01-01,2022-12-30,364,225.98003949175825,0.12448852208891047,5.5031725e+06,32.970222,A,A,Fast
289143327884191523,81972.2,12336,6.644958,2039003.2554092407,2587,2022-01-02,2022-12-30,363,225.81874139118457,0.17941604826964422,5.5851445e+06,33.46133,A,A,Fast
8507741421001344633,81954.0,1047,78.27507,655477.6907215118,713,2022-09-11,2022-12-31,112,731.7321428571429,0.049448644150079754,5.6670985e+06,33.952324,A,A,Fast
2703190777496458820,81769.0,596,137.1963,826613.6060791016,526,2022-09-11,2022-12-30,111,736.6576576576576,0.036479644912962066,5.7488675e+06,34.442215,A,A,Fast
7288954136225478823,80277.0,1110,72.321625,642012.850291729,791,2022-09-11,2022-12-30,111,723.2162162162163,0.05485817324363687,5.8291445e+06,34.923164,A,A,Fast
2695012452070590524,79288.0,505,157.00594,844630.0574045181,424,2022-09-11,2022-12-30,111,714.3063063063063,0.029405645329079688,5.9084325e+06,35.39819,A,A,Fast
379454763001947803,78703.0,256,307.4336,221247.64835834503,185,2022-09-11,2022-12-30,111,709.0360360360361,0.01283029336292392,5.9871355e+06,35.86971,A,A,Fast
7852170368684115755,77630.875,7739,10.031125,1759802.901218474,1599,2022-01-03,2022-12-30,362,214.44993093922653,0.1108953464179208,6.0647665e+06,36.33481,A,A,Fast
4623814317972718932,74443.79,33038,2.2532778,2064137.8090320826,5757,2022-01-02,2022-12-31,364,204.51590401785714,0.399264858866773,6.1392105e+06,36.78081,A,A,Fast
4353552881410365573,73726.6,14276,5.164374,1475213.268921852,2433,2022-01-02,2022-12-30,363,203.10358557162533,0.16873569595672377,6.212937e+06,37.222515,A,A,Fast
3652281557572916499,72729.0,18,4040.5,1188580.899263382,13,2022-09-11,2022-12-22,103,706.1067961165048,0.0009015881822595187,6.285666e+06,37.658245,A,A,Fast
